rank,skill,share_of_employers_percent
1,Analytical thinking,69
2,"Resilience, flexibility and agility",67
3,Leadership and social influence,61
4,Creative thinking,57
5,Motivation and self-awareness,52
6,Technological literacy,51
7,Empathy and active listening,50
8,Curiosity and lifelong learning,50
9,Talent management,47
10,"Service orientation and customer service",47
11,AI and big data,45
12,Systems thinking,42
13,Resource management and operations,41
14,Dependability and attention to detail,37
15,Quality control,35
16,Teaching and mentoring,26
17,Networks and cybersecurity,25
18,Design and user experience,25
19,Multi-lingualism,23
20,Marketing and media,21
21,"Reading, writing and mathematics",21
22,Environmental stewardship,20
23,Programming,17
24,"Manual dexterity, endurance and precision",14
25,Global citizenship,13
26,Sensory-processing abilities,6
